Timestamp,EXPLORER,HUBHOY,HUBdeseo,rolHUBcorto,rolHUBlargo,FORMAtrabajo,COMUNIDAD,VERBO,POBLACIÓNobj,ALGOMEDIBLE
7/11/2020 19:05:50,aventura compromiso red,encuentro ,compromiso comunidad respeto,niños en escuelas por zoom,,,pobladores infantes,,,
7/11/2020 19:05:58,aventura compromiso red,encuentro ,compromiso comunidad respeto,niños en escuelas por zoom,,,pobladores infantes,,,
7/11/2020 21:24:05,investigación divulgación comunidad,comunidad entusiasmo temáticas,divulgación carisma visibilidad,"concientización, visibilidad","recurso económico, protección ","conjunto, ideas, recursos, movilidad",campesinos y docentes,comunicar,niños y niñas de pueblos patagónicos y sus docentes,no se...
7/11/2020 22:27:19,"Explorar, investigar, divulgar","Equipo, lazos, impulso","Extension, empoderamiento, progreso","Creo que concientizando a una comunidad sobre el valor que tiene lo que la rodea se produce un empoderamiento en esta. Así mismo, se despiertan o alimentan sus potenciales embajadores en la ciencia o afines.","Se aplica la respuesta anterior, pero con mas tiempo y experiencia, Los resultados pueden ser de tangos mucho mayores","Comprensión, didactica, respeto, emoción, multimedia",Personas con pasión por su trabajo. Sin importar su temática creo que acá todos tenemos ese Afán intrínseco por indagar un poco más. Todo sin olvidar de transmitirlo a la comunidad.,"Comunicar El valor de nuestro mundo natural, de adentro hacia afuera, para democratizar la ciencia y que todos swamps exploradores","No acotaría a un solo grupo, pero si me gustaria llegar a Las poblaciones que quizas no tienen todas las facilidades",
7/11/2020 23:00:08,Apasionado. Trabajador. Curioso,Integrador. Colaborativo. Union,Educación. Conservación. Expedición,Incentivar el conocimiento y estudio sobre la naturaleza. Conservar los recursos naturales,"Aportar significativamente a la investigación cientifica en Patagonia y educación del publico en general
",Solidaridad. Predisposicion. Compromiso,Todo el publico posible con enfásis en local,Educar,Publico local,Desarrollar el interés por la naturaleza
7/12/2020 8:40:30,Aventura Descubrimiento Desafio,Patagonia cohesion Progreso,Patagonia Union Desafio,Visibilizar temas. Apoyar causas. ,Generar sentido de partenencia. Contruir actores responsables comprometidos.,Virtual Encuentros Botcamps,Comunidad internacional,Promover la valoracion de recursos naturales y culturales,Comunidad de Patagonia e internacional,visibilizar valores o temas de relevancia y generar sentido de pertenencia
7/13/2020 8:21:53,"Prestigio, Reconocimiento, Aventura","Patagonia, Exploradores, Nucleo","Organizacion, Cooperacion, Divulgacion","Mostrar resultados de los exploradores de una forma mas multidisciplinaria para que lleguen de una forma mas interesante a la comunidad, cooperar en la difusión de estos resultados, escuchar a las comunidades y potenciar reclamos ambientales",mostrar una organización solida y decidida que pueda llegar con mas peso a los tomadores de decisiones ante problemáticas de las comunidades,"empatia, escuchar al otr@, potenciar, innovacion y originalidad",Habitantes de la Patagonia,Divulgar,Habitantes de patagonia,actividades 
7/13/2020 10:38:38,"Compromiso, vocación, liderazgo ","Colaboración, ciencia, oportunidades","Ciudadanía, compañerismo, empoderamiento","Un problema que hemos detectado es la poca cercanía que tiene la ciudadanía con los ecosistemas marinos (hay niños en Punta Arenas que nunca han metido los pies en el mar). Al corto plazo, podríamos aportar a generar cercanía con estos ecosistemas, ya sea de forma presencial o virtual, generando apropiación y democratización del conocimiento científico que tienen los participantes del HUB a través de actividades de divulgación y educación ambiental. ",Que seamos un grupo reconocido a nivel binacional que pueda aportar con la creación de áreas protegidas y/o empoderar a las futuras generaciones de líderes ambientales.,"Interdisciplina, agrupados por intereses comunes, trabajar desde el HUB hacia la comunidad. ","La comunidad de exploradores está compuesta por científicos, artistas y comunicadores. Gente con ganas de ir siempre un poco más allá, con compromiso social. Mientras que la comunidad Patagónica es muy diversa y cambia entre ambos países. Será un buen desafío conocer más a fondo a estas sociedades binacionales. ","Co-diseñar, crear, empoderar","comunidades patagónicas, NatGeo explorers, Patagonia",generar apropiación y democratización del conocimiento que genera el HUB
7/13/2020 19:40:00,"exploración, naturaleza, divulgación","investigación, comunidad, comunicación","exploración, Colaboración, divulgación","En el corto plazo podría nuclear y fomentar la cooperación entre investigadores, ayudar a divulgar investigaciones que se realizan en el ámbito, llamar la atención sobre problemas de conservación que existen en este momento y difundir el rol que tienen las investigaciones para rescatar y preservar el patrimonio natural de la región patagónica. ","Nuclear y vincular proyectos interdisciplinarios de investigadores en Patagonia, tener un rol protagónico en la preservación de áreas naturales y el patrimonio natural de la región. ","colaboración, exploración, conservación, comunicación, divulgación",La comunidad en la que se inserta el HUB Patagonia es por un lado la de los habitantes de Patagonia y por el otro lado la comunidad internacional interesada en la ciencia y la naturaleza de Patagonia,"explorar, descubrir, compartir, comunicar, concientizar, preservar",habitantes de Patagonia y personas interesadas en esta región,liderar la vinculación entre investigación y difusión de la ciencia en Patagonia
7/14/2020 11:33:36,"intrepido, comprometido, dispuesto","proyectos, ayuda, potencialidad","transparencia, pro-activo, nexo","El HUB Patagonia podría cumplir el rol de ser un nexo entre el mundo científico y la comunidad, por ejemplo a través de charlas abiertas y proyectos de ciencia ciudadana.","A largo plazo podría convertirse en un ente de consulta para la comunidad a la hora de, por ejemplo, tomar decisiones políticas referidas al medio ambiente en su mas amplio espectro. Un lugar de fácil acceso para la comunidad compuesto por autoridades en sus áreas temáticas.","democraticamente, unidos, responsabilidad","La comunidad esta compuesta por un variado grupo de personas que van desde autoridades en sus áreas de trabajo hasta personas que están comenzando sus carreras. A mi parecer existe una gran desproporción a favor de gente que hace ciencia, sobre otros topicos como fotografia, storytelling, etc.",Facilitar la creación de lazos entre ciencia y comunidad,Comunidad patagónica (pero extendible al resto de Argentina y Chile) ,"Mejorar la educación ambiental, favorecer medidas de conservación"
